architecture,dim,batch_size,strategy,device,compiled,peakmem non-differentiable [GiB],peakmem [GiB],mean [s],std [s],best [s]
tanh_mlp_768_768_512_512_1,50,569,jet_naive,cuda,False,0.6903023719787598,3.0648536682128906,0.7770501600031275,0.0032951207873788287,0.7716486999997869
tanh_mlp_768_768_512_512_1,50,569,jet_simplified,cuda,False,0.5271940231323242,1.3562264442443848,0.3969693340023514,0.0005920455759221018,0.39605500001925975
tanh_mlp_768_768_512_512_1,50,569,multijet_naive,cuda,False,0.6903023719787598,3.0648536682128906,0.787850249997573,0.0020240692976149204,0.7828743000281975
tanh_mlp_768_768_512_512_1,50,569,multijet_simplified,cuda,False,0.529963493347168,1.996065616607666,0.4153786579996813,0.001266237229373342,0.41032710002036765
tanh_mlp_768_768_512_512_1,50,683,hessian_trace,cuda,False,1.5024733543395996,2.973702907562256,0.9643342799984385,0.0014880743971138692,0.9617414000094868
tanh_mlp_768_768_512_512_1,50,683,jet_naive,cuda,False,0.8248229026794434,3.6718955039978027,0.9329712840006686,0.0024932469372184935,0.9271139000193216
tanh_mlp_768_768_512_512_1,50,683,jet_simplified,cuda,False,0.6296696662902832,1.6233792304992676,0.4774524680012837,0.0011283414818385805,0.475538200000301
tanh_mlp_768_768_512_512_1,50,683,multijet_naive,cuda,False,0.8248229026794434,3.6718955039978027,0.9455925079970621,0.0025624105378302025,0.9396458999835886
tanh_mlp_768_768_512_512_1,50,683,multijet_simplified,cuda,False,0.633577823638916,2.389965534210205,0.5006323359976522,0.0016221539251574722,0.4952631000196561
tanh_mlp_768_768_512_512_1,50,796,hessian_trace,cuda,False,1.751838207244873,3.4681239128112793,1.115754879998276,0.0025299494768454144,1.1115242999512702
tanh_mlp_768_768_512_512_1,50,796,jet_naive,cuda,False,0.961188793182373,4.2815728187561035,1.0849047640012577,0.0022104223467531645,1.0806004999903962
tanh_mlp_768_768_512_512_1,50,796,jet_simplified,cuda,False,0.7329697608947754,1.891005039215088,0.5546620199992321,0.0006194982215885437,0.5534818000160158
tanh_mlp_768_768_512_512_1,50,796,multijet_naive,cuda,False,0.961188793182373,4.2815728187561035,1.10165915600257,0.0033096610051426057,1.0952484000008553
tanh_mlp_768_768_512_512_1,50,796,multijet_simplified,cuda,False,0.7375245094299316,2.7865891456604004,0.5827978199976497,0.0028130989650945854,0.5764812999987043
tanh_mlp_768_768_512_512_1,50,910,hessian_trace,cuda,False,1.9916863441467285,3.950319766998291,1.27464302000124,0.001778529602576855,1.2696385000017472
tanh_mlp_768_768_512_512_1,50,910,jet_naive,cuda,False,1.0924911499023438,4.8815460205078125,1.240729146001395,0.0027867368963652513,1.2347729000030085
tanh_mlp_768_768_512_512_1,50,910,jet_simplified,cuda,False,0.8324770927429199,2.154404640197754,0.6337050580070354,0.0017433960588841256,0.6307075000368059
tanh_mlp_768_768_512_512_1,50,910,multijet_naive,cuda,False,1.0924911499023438,4.8815460205078125,1.2591573660005815,0.003031389358711248,1.2535790000110865
tanh_mlp_768_768_512_512_1,50,910,multijet_simplified,cuda,False,0.837684154510498,3.1755075454711914,0.6672046940028667,0.0025288025688307383,0.6618266999721527
tanh_mlp_768_768_512_512_1,50,1024,hessian_trace,cuda,False,2.2376599311828613,4.440784931182861,1.441057585994713,0.002403445257990396,1.4330444000079297
tanh_mlp_768_768_512_512_1,50,1024,jet_naive,cuda,False,1.2269062995910645,5.4871602058410645,1.448776990007609,0.0037549475073637307,1.4413576000370085
tanh_mlp_768_768_512_512_1,50,1024,jet_simplified,cuda,False,0.934319019317627,2.421135425567627,0.7146034700004384,0.0011006059607608168,0.7125616999692284
tanh_mlp_768_768_512_512_1,50,1024,multijet_naive,cuda,False,1.2269062995910645,5.4871602058410645,1.4920285839948337,0.0049002841293304235,1.4800113000092097
tanh_mlp_768_768_512_512_1,50,1024,multijet_simplified,cuda,False,0.940178394317627,3.569572925567627,0.7505405040003825,0.003514172687465936,0.7385790999978781
